CNPJ_Fundo_Classe;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
51.385.174/0001-50;2026-01-01;1;2026-01-30;132;;;;;;;;;;;;;;;;27298237.52;24219069.83;239955;100.931715655019;0.001672;2.5E-05;-0.005413;-0.005413;0;0
51.392.366/0001-94;2026-01-01;1;2026-01-30;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;26291862.18;26058927.4;32847.159109;793.338848986181;0.004092;0.000106;-0.000553;-0.000553;0;0
51.407.683/0001-37;2026-01-01;1;2026-01-30;1;;;;;;;;;;;;;1;;;16803802.46;16651802.46;8028.2219;2074.15822176016;0.009128;0;-0.00114;-0.00114;0;0
51.407.683/0001-37;2026-02-01;1;2026-02-27;1;;;;;;;;;;;;;1;;;16803802.46;16632802.46;8028.2219259;2071.79156400007;0.010281;0;-0.001141;-0.001141;0;0
51.413.518/0001-98;2026-01-01;1;2026-01-30;6;5;0;;;;1;;;;;;;;;;15040.08;-30809.84;10000;-3.080984;-0.438172;0;1.40901371;1.40901371;0;0
51.416.131/0001-95;2026-01-01;1;2026-01-30;1;;;;;;;;;;;;;1;;;29225388.17;9054388.17;10870.6957;832.917084598367;0.018886;0;-0.002093;-0.002093;0;0
51.416.131/0001-95;2026-02-01;1;2026-02-27;1;;;;;;;;;;;;;1;;;29225386.81;9035386.81;10870.6957;831.169141272164;0.021028;0;-0.002099;-0.002099;0;0
51.472.985/0001-99;2026-01-01;1;2026-01-30;11189;;;;;;;;;;;;;;;;362768224.97;352392703.05;31625978;11.1425076894065;0.000581;0;0.006895;0.002666;0.004229;0
51.476.870/0001-72;2026-01-01;1;2026-01-30;1;;;1;;;;;;;;;;;;;152089592.9;152067467.3;975576.21427652;155.874513005396;0.0001;0;0.093553;0.093553;0;0
51.601.636/0001-20;2026-01-01;1;2026-01-30;4215;0;0;;;;;;;;;;;;4215;;224046225.39;206832310.05;21021208;9.83922095;0.000732;0;0.00968067;-0.00047788;0.01015855;0
51.646.298/0001-42;2026-01-01;1;2026-01-30;13124;13078;19;1;;;3;2;;;;;9;12;;;299333680.86;295803811.35;29563321;10.005770709928;0.000753;0;0.013138;0.002121;0.011017;0
51.665.327/0001-13;2026-01-01;1;2026-01-30;4667;;;;;;;;;;;;;;;;148254685.27;144948575.45;14963704;9.6866775398658;0.001004;0;0.013615;0.001008;0.012607;0
51.666.294/0001-26;2026-01-01;1;2026-01-30;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;276624272.28;275601828.83;2504500;110.042655;0.000125;0;0.010674;0.005322;0.005352;0
51.672.980/0001-00;2026-01-01;1;2026-01-30;1;;;;;;;;;;;;;1;;;8208130.59;8038035.35;9248.3457;869.132233021955;0.002133;0;-0.002266;-0.002266;0;0
